element,position,multiplier,is_captain,is_vice_captain
597,1,1,False,False
20,2,1,False,False
131,3,1,False,False
195,4,1,False,False
143,5,1,False,False
19,6,1,False,False
308,7,1,False,False
108,8,1,False,False
12,9,1,False,True
135,10,1,False,False
355,11,2,True,False
524,12,0,False,False
538,13,0,False,False
473,14,0,False,False
316,15,0,False,False
