Manager,team_id
Willie,24297
Ham,304710
Tom,36757
Immy,19501
Dommy,158191
Blake,2237248
Gordie,974891
Katie,5885050
j rob,364859
N G,232134
Sarah,3934214
Luke,407819
Davies,2349732
